"SampleID","site.name","elevation","depth","ph","toc","ec","average.soil.relative.humidity","relative.humidity.soil.high","relative.humidity.soil.low","percent.relative.humidity.soil.100","average.soil.temperature","temperature.soil.high","temperature.soil.low","vegetation","percentcover","transect"
"BAQ4697.1","BAQ4697",4697,2,7.44,424,0.055,15.75,23.97,11.1,0,22.61,17.45,12.971,"yes",0.1,"BAQ"
"BAQ4697.2","BAQ4697",4697,2,7.44,531,0.055,16.17,31.011,11.42,0,22.61,17.45,12.971,"yes",0.1,"BAQ"
"BAQ4697.3","BAQ4697",4697,2,7.44,631,0.055,16.17,23.97,11.42,0.21,22.59,17.45,12.46,"yes",0.1,"BAQ"
"BAQ895.2","BAQ895",895,2,8.1,61,2.945,32.22,43.14,25.6,0,19.17,31.82,10.54,"no",0,"BAQ"
"BAQ895.3","BAQ895",895,2,8,474,2.945,32.22,43.14,25.6,0,19.17,31.82,10.54,"no",0,"BAQ"
"YUN1005.1.1","YUN1005",1005,1,7.54,525,6.08,20.7,31.011,16.343,0,22.59,26.26,16.51,"no",0,"YUN"
"YUN1005.2","YUN1005",1005,2,8.35,160,2.27,20.7,31.011,16.343,0,22.59,26.26,16.51,"no",0,"YUN"
"YUN1005.3","YUN1005",1005,2,7.6,223,2.27,20.7,31.011,16.343,0,22.59,26.26,16.51,"no",0,"YUN"
"YUN1005.1.3","YUN1005",1005,3,7.6,539,6.08,20.7,31.011,16.343,0,22.59,26.26,16.51,"no",0,"YUN"
"YUN1242.1","YUN1242",1242,2,9,226,1.845,20.9,36.46,16.96,0,23.61,27.62,18.33,"no",0,"YUN"
"YUN1242.2","YUN1242",1242,2,9,194,1.845,20.9,36.46,16.96,0,23.61,27.62,18.33,"no",0,"YUN"
"YUN1242.3","YUN1242",1242,2,9,452,1.845,20.9,36.46,16.96,0,23.61,27.62,18.33,"no",0,"YUN"
"YUN1609.1","YUN1609",1609,2,8,361,0.427,17.18,50.4,12.53,0,21.47,25.39,16.1,"no",0,"YUN"
"YUN1609.3","YUN1609",1609,2,8,424,0.427,17.18,50.4,12.53,0,21.47,25.39,16.1,"no",0,"YUN"
"YUN2029.1","YUN2029",2029,2,7.89,184,0.067,28.79,52.55,21.76,0,17.85,24.16,10.21,"no",0,"YUN"
"YUN2029.2","YUN2029",2029,2,7.89,241,0.067,28.79,52.55,21.76,0,17.85,24.16,10.21,"no",0,"YUN"
"YUN2029.3","YUN2029",2029,2,7.89,817,0.067,28.79,52.55,21.76,0,17.85,24.16,10.21,"no",0,"YUN"
"YUN3008.1.1","YUN3008",3008,1,7.7,521,2.945,70.89,100,20.37,29.1,11.57,30.98,-2.57,"no",0,"YUN"
"YUN3008.1.2","YUN3008",3008,2,7.71,250,2.205,70.89,100,20.37,29.1,11.57,30.98,-2.57,"no",0,"YUN"
"YUN3008.2","YUN3008",3008,2,8.1,367,2.205,70.89,100,20.37,29.1,11.57,30.98,-2.57,"no",0,"YUN"
"YUN3008.3","YUN3008",3008,2,8.1,417,2.205,70.89,100,20.37,29.1,11.57,30.98,-2.57,"no",0,"YUN"
"YUN3008.1.3","YUN3008",3008,3,7.5,521,2.27,70.89,100,20.37,29.1,11.57,30.98,-2.57,"no",0,"YUN"
"YUN3153.1","YUN3153",3153,2,7.6,580,2.26,59.69,93.15,32.12,0,12.5,19.62,3.48,"no",0,"YUN"
"YUN3153.2","YUN3153",3153,2,7.6,185,2.26,59.69,93.15,32.12,0,12.5,19.62,3.48,"no",0,"YUN"
"YUN3153.3","YUN3153",3153,2,7.6,391,2.26,59.69,93.15,32.12,0,12.5,19.62,3.48,"no",0,"YUN"
"YUN3184.1","YUN3184",3184,2,7.7,254,2.235,26.97,46.57,15.09,0,14.12,25.21,2.45,"no",0,"YUN"
"YUN3184.2","YUN3184",3184,2,8.35,411,2.235,26.97,46.57,15.09,0,14.12,25.21,2.45,"no",0,"YUN"
"YUN3259.1.1","YUN3259",3259,1,8.48,521,2.945,93.57,100,69.04,64.69,15.28,23.65,6.31,"yes",2.4,"YUN"
"YUN3259.1.2","YUN3259",3259,2,8.1,419,0.133,93.57,100,69.04,64.69,15.28,23.65,6.31,"yes",2.4,"YUN"
"YUN3259.2","YUN3259",3259,2,8.1,342,0.133,93.57,100,69.04,64.69,15.28,23.65,6.31,"yes",2.4,"YUN"
"YUN3259.3","YUN3259",3259,2,8.1,539,0.133,93.57,100,69.04,64.69,15.28,23.65,6.31,"yes",2.4,"YUN"
"YUN3259.1.3","YUN3259",3259,3,8.4,531,6.08,93.57,100,69.04,64.69,15.28,23.65,6.31,"yes",2.4,"YUN"
"YUN3346.1","YUN3346",3346,2,7.1,429,0.044,87.32,100,57.8,33.13,15.89,23.96,6.89,"yes",0.01,"YUN"
"YUN3346.2","YUN3346",3346,2,7.1,666,0.044,87.32,100,57.8,33.13,15.89,23.96,6.89,"yes",0.01,"YUN"
"YUN3346.3","YUN3346",3346,2,7.1,387,0.044,87.32,100,57.8,33.13,15.89,23.96,6.89,"yes",0.01,"YUN"
"YUN3428.1","YUN3428",3428,2,7.2,623,0.023,99.99,100,99.91,99.42,13.61,21.09,4.13,"yes",8.8,"YUN"
"YUN3428.2","YUN3428",3428,2,7.2,621,0.023,99.99,100,99.91,99.42,13.61,21.09,4.13,"yes",8.8,"YUN"
"YUN3428.3","YUN3428",3428,2,7.2,658,0.023,99.99,100,99.91,99.42,13.61,21.09,4.13,"yes",8.8,"YUN"
"YUN3533.1.1","YUN3533",3533,1,7.1,525,6.08,100,100,99.93,99.94,11.41,19.21,3.47,"yes",8.6,"YUN"
"YUN3533.1.2","YUN3533",3533,2,8,521,0.024,100,100,99.93,99.94,11.41,19.21,3.47,"yes",8.6,"YUN"
"YUN3533.2","YUN3533",3533,2,8,773,0.024,100,100,99.93,99.94,11.41,19.21,3.47,"yes",8.6,"YUN"
"YUN3533.3","YUN3533",3533,2,8,664,0.024,100,100,99.93,99.94,11.41,19.21,3.47,"yes",8.6,"YUN"
"YUN3533.1.3","YUN3533",3533,3,7.8,539,2.27,100,100,99.93,99.94,11.41,19.21,3.47,"yes",8.6,"YUN"
"YUN3856.1.1","YUN3856",3856,1,6.98,525,2.27,99.44,100,73.75,93.7,9.51,17.45,0.45,"yes",3.1,"YUN"
"YUN3856.1.2","YUN3856",3856,2,7.43,713,0.029,99.44,100,73.75,93.7,9.51,17.45,0.45,"yes",3.1,"YUN"
"YUN3856.2","YUN3856",3856,2,7.43,404,0.029,99.44,100,73.75,93.7,9.51,17.45,0.45,"yes",3.1,"YUN"
"YUN3856.3","YUN3856",3856,2,7.43,988,0.029,99.44,100,73.75,93.7,9.51,17.45,0.45,"yes",3.1,"YUN"
"YUN3856.1.3","YUN3856",3856,3,7.54,531,2.27,99.44,100,73.75,93.7,9.51,17.45,0.45,"yes",3.1,"YUN"
